!SIL	SIL
उभर	u bh a r
उभरती	u bh a r t ii
उभरी	u bh r ii
उभरे	u bh r ee
उभार	u bh aa r
उमर	u m a r
उमरि	u m r i
उमेश	u m ee sh
उम्दवार	u m d a w aa r
उम्दा	u m d aa
उम्मीद	u m m ii d
उम्मीदवार	u m m ii d w aa r
उम्मीदवारों	u m m ii d w aa r o q
उम्मीदिवारि	u m m ii d i w aa r i
उम्मीदिवारिों	u m m ii d i w aa r i o q
उम्मीदें	u m m ii d ee q
उम्मीदों	u m m ii d o q
उम्र	u m r
उम्रदराज	u m r a d a r aa j
उमड़	u m a dxq
उमड़ने	u m a dxq n ee
उर	u r
उरी	u r ii
उर्जा	u r j aa
उर्दू	u r d uu
उर्फ	u r ph
उर्वरक	u r w a r a k
उर्वरकों	u r w a r a k o q
उर्वरता	u r w a r t aa
उर्वशी	u r w a sh ii
उल	u l
उलझ	u l a jh
उलझने	u l a jh n ee
उलझनों	u l a jh n o q
उलझाए	u l a jh aa ee
उलझाने	u l a jh aa n ee
उलट	u l a tx
उलटे	u l a tx ee
उलेमा	u l ee m aa
उलेमाओं	u l ee m aa o q
उल्टा	u l tx aa
उल्टियां	u l tx i y aa q
उल्टी	u l tx ii
उल्टे	u l tx ee
उल्फा	u l ph aa
उल्लंघन	u l l a q gh a n
उल्लघंन	u l l gh a q n
उल्लेख	u l l ee kh
उल्लेखनीय	u l l ee kh n ii y
उल्लेखों	u l l ee kh o q
उष्ण	u sx nx
उष्णकटिबंधीय	u sx nx a k a tx i b a q dh ii y
उस	u s
उसका	u s a k aa
उसकी	u s a k ii
उसके	u s a k ee
उसको	u s a k o
उसने	u s a n ee
उसपर	u s a p a r
उसम	u s a m
उसमे	u s a m ee
उसमें	u s a m ee q
उससे	u s a s ee
उसी	u s ii
उसे	u s ee
उड़	u dxq
उड़ा	u dxq aa
उड़ान	u dxq aa n
उड़ाया	u dxq aa y aa
उड़ायाजाहिर	u dxq aa y aa j aa h i r
उड़िशा	u dxq i sh aa
उड़ी	u dxq ii
उड़ीशा	u dxq ii sh aa
ऊंचा	uu q c aa
ऊंचाई	uu q c aa ii
ऊंची	uu q c ii
ऊंचे	uu q c ee
ऊंट	uu q tx
ऊपर	uu p a r
ऊपरी	uu p r ii
ऊबर	uu b a r
ऊर्जा	uu r j aa
ऊर्जित	uu r j i t
ऋण	rq nx
ऋति	rq t i
ऋतिक	rq t i k
ऋद्धिमान	rq d dh i m aa n
ऋषि	rq sx i
ए	ee
एंगल	ee q g a l
एंग्लो	ee q g l o
एंजेसी	ee q j ee s ii
एंजॉय	ee q j ax y
एंज्यॉय	ee q j y ax y
एंटर	ee q tx a r
एंटरटेनमेंट	ee q tx r a tx ee n m ee q tx
एंटरप्राइज	ee q tx r a p r aa i j
एंटल	ee q tx a l
एंटी	ee q tx ii
एंटीगुआ	ee q tx ii g u aa
एंटीजेनिक	ee q tx ii j ee n i k
एंटेनियो	ee q tx ee n i y o
एंट्री	ee q tx r ii
एंट्रेंस	ee q tx r ee q s
एंड	ee q dx
एंडरसन	ee q dx r a s a n
एंडी	ee q dx ii
एंडॉयड	ee q dx ax y a dx
एंड्रायड	ee q dx r aa y a dx
एंड्रायॅड	ee q dx r aa y ae dx
एंड्रॉइड	ee q dx r ax i dx
एंड्रॉयड	ee q dx r ax y a dx
एंबुलेंस	ee q b u l ee q s
एंबेसडर	ee q b ee s dx a r
एआइजी	ee aa i j ii
एआइडीएमके	ee aa i dx ii ee m k ee
एआईटीए	ee aa ii tx ii ee
एआईपीएमटी	ee aa ii p ii ee m tx ii
एआर	ee aa r
एइथ	ee i th
एए	ee ee
एएआई	ee ee aa ii
एएमआरसी	ee ee m aa r s ii
एएलटी	ee ee l tx ii
एएस	ee ee s
एक	ee k
एकएक	ee k ee k
एकके	ee k k ee
एकछत्र	ee k ch a t r
एकजार	ee k j aa r
एकजुट	ee k j u tx
एकजुटता	ee k j u tx t aa
एकतरफा	ee k t a r ph aa
एकता	ee k t aa
एकत्र	ee k a t r
एकत्रित	ee k a t r i t
एकदम	ee k d a m
एकदिवसीय	ee k d i w s ii y
एकन	ee k a n
एकपक्षीय	ee k p a k sx ii y
एकफसली	ee k ph a s l ii
एकबारगी	ee k b aa r g ii
एकमत	ee k m a t
एकमात्र	ee k m aa t r
एकरूपता	ee k r uu p t aa
एकल	ee k a l
एकशयन	ee k a sh y a n
एकसौ	ee k s ou
एकहजार	ee k h a j aa r
एकहजारआटसौ	ee k h a j aa r aa tx s ou
एकहजारनौ	ee k h a j aa r n ou
एकांगी	ee k aa q g ii
एकांतवास	ee k aa q t a w aa s
एकादश	ee k aa d a sh
एकाधिकार	ee k aa dh i k aa r
एकीकरण	ee k ii k r a nx
एकीकृत	ee k ii k rq t
एके	ee k ee
एकेडमी	ee k ee dx m ii
एक्जामिनेशन	ee k j aa m i n ee sh a n
एक्जीक्यूटिव	ee k j ii k y uu tx i w
एक्ट	ee k tx
एक्टर	ee k tx a r
एक्टरेस्	ee k tx a r ee s
एक्टर्स	ee k tx a r s
एक्टिंग	ee k tx i q g
एक्टिव	ee k tx i w
एक्टिवस्ट	ee k tx i w a s tx
एक्टिविटी	ee k tx i w i tx ii
एक्टिविटीज	ee k tx i w i tx ii j
एक्टिविस्ट	ee k tx i w i s tx
एक्टिविस्ट्स	ee k tx i w i s tx s
एक्टीवेट	ee k tx ii w ee tx
एक्टीवेशन	ee k tx ii w ee sh a n
एक्ट्रेस	ee k tx r ee s
एक्ट्रेसेज	ee k tx r ee s ee j
एक्ट्रैक्स	ee k tx r ei k s
एक्वीजीशन	ee k w ii j ii sh a n
एक्शन	ee k sh a n
एक्स	ee k s
एक्सक्लूसिव	ee k s a k l uu s i w
एक्सचेंज	ee k s a c ee q j
एक्सटेंशन	ee k s a tx ee q sh a n
एक्सट्रा	ee k s a tx r aa
एक्सपर्ट	ee k s a p a r tx
एक्सपायरी	ee k s a p aa y r ii
एक्सपी	ee k s a p ii
एक्सपीरियंस	ee k s a p ii r i y a q s
एक्सपेंडिचर	ee k s a p ee q dx i c a r
एक्सपेरिमेंट	ee k s a p ee r i m ee q tx
एक्सपैरिमेंट	ee k s a p ei r i m ee q tx
एक्सपोज	ee k s a p o j
एक्सपोजर	ee k s a p o j a r
एक्सपोर्ट	ee k s a p o r tx
एक्सप्रेस	ee k s a p r ee s
एक्सरे	ee k s a r ee
एक्साइज़	ee k s aa i z
एक्साइटिड	ee k s aa i tx i dx
एक्साइटेड	ee k s aa i tx ee dx
एक्सिस	ee k s i s
एक्सेल	ee k s ee l
एक्सेस	ee k s ee s
एक्सेसरीज	ee k s ee s r ii j
एक्सौ	ee k s ou
एक्स्ट्रा	ee k s tx r aa
एकड़	ee k a dxq
एग्जाम	ee g j aa m
एग्जामपदों	ee g j aa m p a d o q
एग्जामिनेशन	ee g j aa m i n ee sh a n
एग्जिट	ee g j i tx
एग्जीक्यूटिव	ee g j ii k y uu tx i w
एग्रीकल्चर	ee g r ii k a l c a r
एग्रेसिव	ee g r ee s i w
एच	ee c
एचआइवी	ee c aa i w ii
एचआर	ee c aa r
एचएम	ee c ee m
एचएमडी	ee c ee m dx ii
एचओएस	ee c o ee s
एचटी	ee c tx ii
एचटीएमएल	ee c tx ii ee m ee l
एचडी	ee c dx ii
एचडीएफसी	ee c dx ii ee ph s ii
एचपाँचएनआठ	ee c p aa mq c ee n aa txh
एचपाँचएनएक	ee c p aa mq c ee n ee k
एचयूएफ	ee c y uu ee ph
एचसातएननौ	ee c s aa t ee n n ou
एजंडा	ee j a q dx aa
एजंडे	ee j a q dx ee
एजंसियों	ee j a q s i y o q
एजाज	ee j aa j
एजुकेशन	ee j u k ee sh a n
एजेंट	ee j ee q tx
एजेंडे	ee j ee q dx ee
एजेंसियां	ee j ee q s i y aa q
एजेंसियों	ee j ee q s i y o q
एजेंसी	ee j ee q s ii
एजेजसयों	ee j ee j s a y o q
एटलस	ee tx l a s
एटलेटिको	ee tx l ee tx i k o
एटी	ee tx ii
एटीएम	ee tx ii ee m
एट्रोसिटी	ee tx r o s i tx ii
एड	ee dx
एडप्स	ee dx a p s
एडम	ee dx a m
एडमिट	ee dx m i tx
एडमिरल	ee dx m i r a l
एडमिशन	ee dx m i sh a n
एडल्ट	ee dx a l tx
एडवर्टाइजिंग	ee dx w a r tx aa i j i q g
एडवर्ड	ee dx w a r dx
एडवांस	ee dx w aa q s
एडवोकेट	ee dx w o k ee tx
एडवोकेसी	ee dx w o k ee s ii
एडहॉक	ee dx h ax k
एडिट	ee dx i tx
एडिटर	ee dx i tx a r
एडिटिंग	ee dx i tx i q g
एडी	ee dx ii
एडीएम	ee dx ii ee m
एड्रेस	ee dx r ee s
एड्स	ee dx s
एतराज	ee t r aa j
एथलीट	ee th l ii tx
एथलीट्स	ee th l ii tx s
एदपसोड	ee d p a s o dx
एन	ee n
एनआईए	ee n aa ii ee
एनआईओएस	ee n aa ii o ee s
एनआईटी	ee n aa ii tx ii
एनआईटीटीई	ee n aa ii tx ii tx ii ii
एनआईसी	ee n aa ii s ii
एनईईटी	ee n ii ii tx ii
एनएच	ee n ee c
एनएम	ee n ee m
एनएस	ee n ee s
एनएसए	ee n ee s ee
एनएसजी	ee n ee s j ii
एनएससीएन	ee n ee s s ii ee n
एनके	ee n k ee
एनजीटी	ee n j ii tx ii
एनटीपीसी	ee n tx ii p ii s ii
एनटीपीसीने	ee n tx ii p ii s ii n ee
एनटीसीए	ee n tx ii s ii ee
एनडीटीवी	ee n dx ii tx ii w ii
एनपीए	ee n p ii ee
एनरोलमेंट	ee n r o l m ee q tx
एनर्जी	ee n a r j ii
एनवायरनमेंटल	ee n w aa y a r n a m ee q tx a l
एनवीबीडीसीपी	ee n w ii b ii dx ii s ii p ii
एनसीआर	ee n s ii aa r
एनालाइज	ee n aa l aa i j
एनालिसिस	ee n aa l i s i s
एनिमेटेड	ee n i m ee tx ee dx
एनिमेशन	ee n i m ee sh a n
एनेलसिस	ee n ee l s i s
एन्	ee n
एन्.डी.ए	ee n dx ii ee
एन्फोर्समेंट	ee n ph o r s a m ee q tx
एप	ee p
एपल	ee p a l
एपियर	ee p i y a r
एपिसोड	ee p i s o dx
एपीजे	ee p ii j ee
एप्टीट्यूड	ee p tx ii tx y uu dx
एप्पल	ee p p a l
एप्लिकेशन	ee p l i k ee sh a n
एप्लीकेशंस	ee p l ii k ee sh a q s
एप्लीकेशन	ee p l ii k ee sh a n
एप्स	ee p s
एफ	ee ph
एफआइआर	ee ph aa i aa r
एफआइएच	ee ph aa i ee c
एफआईआर	ee ph aa ii aa r
एफएम	ee ph ee m
एफएमसीसी	ee ph ee m s ii s ii
एफओ	ee ph o
एफबीए	ee ph b ii ee
एफसी	ee ph s ii
एफिलिएटेड	ee ph i l i ee tx ee dx
एबल्स	ee b a l s
एबिलिटी	ee b i l i tx ii
एबी	ee b ii
एबीएस	ee b ii ee s
एब्यूज	ee b y uu j
एम	ee m
एम.जी.आर	ee m j ii aa r
एमआरएफ	ee m aa r ee ph
एमए	ee m ee
एमएएच	ee m ee ee c
एमएम	ee m ee m
एमएलए	ee m ee l ee
एमएस	ee m ee s
एमजे	ee m j ee
एमडी	ee m dx ii
एमनेस्टी	ee m n ee s tx ii
एमपी	ee m p ii
एमबी	ee m b ii
एमबीए	ee m b ii ee
एमसीए	ee m s ii ee
एमोलेड	ee m o l ee dx
एम्	ee m
एम्.पी	ee m p ii
एम्पलॉयर	ee m p a l ax y a r
एम्पी	ee m p ii
एम्प्लायमेंट	ee m p l aa y m ee q tx
एम्प्लॉयर	ee m p l ax y a r
एम्स	ee m s
एयर	ee y a r
एयरटेल	ee y a r tx ee l
एयरपोर्ट	ee y a r p o r tx
एयरफॉर्स	ee y a r ph ax r s
एयरफोर्स	ee y a r ph o r s
एयरबस	ee y a r b a s
एयरबेस	ee y a r b ee s
एयरलाइंस	ee y a r l aa i q s
एयरलाइन्स	ee y a r l aa i n s
एयरवेज	ee y a r w ee j
एयरसेल	ee y a r s ee l
एरिया	ee r i y aa
एर्पल	ee r p a l
एल	ee l
एलईडी	ee l ii dx ii
एलए	ee l ee
एलएंडटी	ee l ee q dx a tx ii
एलएचबी	ee l ee c b ii
एलएलपी	ee l ee l p ii
एलएलबी	ee l ee l b ii
एलओ	ee l o
एलजिबिलिटी	ee l a j i b i l i tx ii
एलजी	ee l a j ii
एलटीई	ee l a tx ii ii
एलबीडब्ल्यू	ee l a b ii dx a b l y uu
एलान	ee l aa n
एलिजाबेथ	ee l i j aa b ee th
एलिजिबल	ee l i j i b a l
एलिजिबिलिटी	ee l i j i b i l i tx ii
एलिमिनेट	ee l i m i n ee tx
एलिमिनेशन	ee l i m i n ee sh a n
एलिस्टेयर	ee l i s tx ee y a r
एलेक्स	ee l ee k s
एलेस्टर	ee l ee s tx a r
एलेस्टेयर	ee l ee s tx ee y a r
एलोपैथी	ee l o p ei th ii
एल्टेनबर्ग	ee l tx ee n b a r g
एव	ee w
एवं	ee w a q
एवरेस्ट	ee w a r ee s tx
एवर्टन	ee w a r tx a n
एशियन	ee sh i y a n
एशियम	ee sh i y a m
एशिया	ee sh i y aa
एशियाई	ee sh i y aa ii
एश्योरेंस	ee sh y o r ee q s
एस	ee s
एसएचओ	ee s ee c o
एसएमएस	ee s ee m ee s
एसएलआर	ee s ee l aa r
एसएसएसी	ee s ee s ee s ii
एसएसपी	ee s ee s p ii
एसएससी	ee s ee s s ii
एसके	ee s a k ee
एसटी	ee s a tx ii
एसटीएफ	ee s a tx ii ee ph
एसटीडी	ee s a tx ii dx ii
एसटीडीऔर	ee s a tx ii dx ii ou r
एसटीवी	ee s a tx ii w ii
एसटीसी	ee s a tx ii s ii
एसडीटी	ee s a dx ii tx ii
एसपी	ee s a p ii
एसपीजी	ee s a p ii j ii
एसबीआइ	ee s a b ii aa i
एसबीआई	ee s a b ii aa ii
एसबीओ	ee s a b ii o
एसवाइएल	ee s a w aa i ee l
एसवाई	ee s a w aa ii
एसवाईएल	ee s a w aa ii ee l
एसस	ee s a s
एससी	ee s a s ii
एसा	ee s aa
एसी	ee s ii
एसे	ee s ee
एसेट	ee s ee tx
एसेट्स	ee s ee tx s
एसेसमेंट	ee s ee s m ee q tx
एसोसिएट	ee s o s i ee tx
एस्टेट	ee s tx ee tx
एहतियात	ee h a t i y aa t
एहसास	ee h a s aa s
एेलान	ee ee l aa n
एेसा	ee ee s aa
एेसी	ee ee s ii
एेसे	ee ee s ee
ऐ	ei
ऐंड	ei a q dx
ऐक्टिविस्ट	ei k tx i w i s tx
ऐड	ei dx
ऐतिहासिक	ei t i h aa s i k
ऐन	ei n
ऐप	ei p
ऐप्टीट्यूड	ei p tx ii tx y uu dx
ऐप्लिकेशंस	ei p l i k ee sh a q s
ऐप्स	ei p s
ऐफिलिएशन	ei ph i l i ee sh a n
ऐब	ei b
ऐलान	ei l aa n
ऐलेन	ei l ee n
ऐश	ei sh
ऐश्वर्या	ei sh w a r y aa
ऐसा	ei s aa
ऐसी	ei s ii
ऐसे	ei s ee
ऐसेट	ei s ee tx
ऑक्टा	ax k tx aa
ऑक्सिजन	ax k s i j a n
ऑटो	ax tx o
ऑटोग्राफ	ax tx o g r aa ph
ऑडिट	ax dx i tx
ऑथेंटिकेशन	ax th ee q tx i k ee sh a n
ऑदफसरि	ax d ph a s r i
ऑन	ax n
ऑनलाइन	ax n l aa i n
ऑनस्क्रीन	ax n a s k r ii n
ऑपटिक	ax p tx i k
ऑपरेटर	ax p r ee tx a r
ऑपरेटरपदों	ax p r ee tx a r p a d o q
ऑपरेटिंग	ax p r ee tx i q g
ऑपरेटिव	ax p r ee tx i w
ऑपरेशन	ax p r ee sh a n
ऑपरेशन्स	ax p r ee sh a n s
ऑपरेसन	ax p r ee s a n
ऑप्टिकल	ax p tx i k a l
ऑप्शन	ax p sh a n
ऑफ	ax ph
ऑफर	ax ph a r
ऑफरि	ax ph r i
ऑफरिनाम	ax ph r i n aa m
ऑफर्स	ax ph a r s
ऑफलाइन	ax ph l aa i n
ऑफि	ax ph i
ऑफिशियल	ax ph i sh i y a l
ऑफिस	ax ph i s
ऑफिसर	ax ph i s a r
ऑफिसरपदों	ax ph i s a r p a d o q
ऑब्जेक्टिव	ax b j ee k tx i w
ऑर	ax r
ऑरा	ax r aa
ऑर्गेनिक	ax r g ee n i k
ऑर्डर	ax r dx a r
ऑल	ax l
ऑवर	ax w a r
ऑस्कर	ax s k a r
ऑस्ट्रेलिया	ax s tx r ee l i y aa
ऑस्ट्रेलियाई	ax s tx r ee l i y aa ii
ओ	o
ओ.पी.डी	o p ii dx ii
ओंकारनाथ	o q k aa r n aa th
ओंकारेश्वर	o q k aa r ee sh w a r
ओंलपिक	o q l p i k
ओंलम्पिक	o q l a m p i k
ओंलम्पिक्स	o q l a m p i k s
ओईसीडी	o ii s ii dx ii
ओए	o ee
ओके	o k ee
ओक्स	o k s
ओजोन	o j o n
ओझियानी	o jh i y aa n ii
ओटीपी	o tx ii p ii
ओडिशा	o dx i sh aa
ओने	o n ee
ओपन	o p a n
ओपनर	o p n a r
ओपनर्स	o p n a r s
ओपनिंग	o p n i q g
ओपरेटिंग	o p r ee tx i q g
ओपेन	o p ee n
ओपेनिंग	o p ee n i q g
ओपेरा	o p ee r aa
ओबामा	o b aa m aa
ओबीसी	o b ii s ii
ओब्जेक्शन	o b j ee k sh a n
ओम	o m
ओमजमोना	o m j a m o n aa
ओमजी	o m j ii
ओर	o r
ओरि	o r i
ओरिएंटल	o r i ee q tx a l
ओलंपिक	o l a q p i k
ओलम्पिंक	o l a m p i q k
ओलम्पिक	o l a m p i k
ओलम्पिस	o l a m p i s
ओला	o l aa
ओलिपिक्स	o l i p i k s
ओलिम्पिक्स	o l i m p i k s
ओली	o l ii
ओवर	o w a r
ओवरहाल	o w a r h aa l
ओवरों	o w a r o q
ओवल	o w a l
ओवेशनदिया	o w ee sh n a d i y aa
ओवैसी	o w ei s ii
ओसलसम्पक्स	o s a l s a m p a k s
ओस्कर	o s k a r
ओस्कार	o s k aa r
ओड़िया	o dxq i y aa
ओड़िशा	o dxq i sh aa
ओड़ीशा	o dxq ii sh aa
औ	ou
औंस	ou a q s
औक्र	ou k r
औचित्य	ou c i t y
औद्योगिक	ou d y o g i k
औद्योगीकरण	ou d y o g ii k r a nx
औद्योगीकरिण	ou d y o g ii k r i nx
औपचारिक	ou p c aa r i k
औपचारिकता	ou p c aa r i k t aa
औपनिवेशिक	ou p n i w ee sh i k
और	ou r
औरंगाबाद	ou r a q g aa b aa d
औरत	ou r a t
औरतीन	ou r a t ii n
औरते	ou r a t ee
औरतों	ou r a t o q
औरि	ou r i
औरैया	ou r ei y aa
औरों	ou r o q
औऱ	ou r
औश्कर	ou sh k a r
औषधीय	ou sx a dh ii y
औसत	ou s a t
क	k a
कंक्रीट	k a q k r ii tx
कंकड़	k a q k a dxq
कंगना	k a q g a n aa
कंगारूओं	k a q g aa r uu o q
कंगाल	k a q g aa l
कंजूसी	k a q j uu s ii
कंटेनरों	k a q tx ee n r o q
कंटेस्टेंट	k a q tx ee s tx ee q tx
कंटेस्टेंट्स	k a q tx ee s tx ee q tx s
कंट्रोल	k a q tx r o l
कंट्रोलर	k a q tx r o l a r
कंट्रोलरपदों	k a q tx r o l a r p a d o q
कंडीशन	k a q dx ii sh a n
कंडे	k a q dx ee
कंडों	k a q dx o q
कंधार	k a q dh aa r
कंधे	k a q dh ee
कंपनियां	k a q p a n i y aa q
कंपनियो	k a q p a n i y o
कंपनियों	k a q p a n i y o q
कंपनी	k a q p a n ii
कंपार्टमेंट	k a q p aa r tx a m ee q tx
कंपेटेटिव	k a q p ee tx ee tx i w
कंपेयर	k a q p ee y a r
कंपोस्ट	k a q p o s tx
कंप्यूटर	k a q p y uu tx a r
कंप्यूटरीकरण	k a q p y uu tx r ii k r a nx
कंप्यूटिंग	k a q p y uu tx i q g
कंप्लायंस	k a q p l aa y a q s
कंफ्यूजन	k a q ph y uu j a n
कंबलों	k a q b a l o q
कंबाइंड	k a q b aa i q dx
कंबाइन	k a q b aa i n
कंबोडिया	k a q b o dx i y aa
कंमाइंड	k a q m aa i q dx
कंविनियंट	k a q w i n i y a q tx
कंस्ट्रक्शन	k a q s tx r a k sh a n
कई	k ii
ककतनभी	k a k t a n bh ii
ककयहा	k a k a y h aa
ककस	k a k a s
ककी	k a k ii
कक्रकने	k a k r a k n ee
कक्ष	k a k sx
कक्षा	k a k sx aa
कगार	k a g aa r
कचरा	k a c r aa
कचरामुक्त	k a c r aa m u k t
कचरे	k a c r ee
कच्ची	k a c c ii
कच्चे	k a c c ee
कटऑफ	k a tx ax ph
कटते	k a tx t ee
कटद	k a tx a d
कटर	k a tx a r
कटरीना	k a tx r ii n aa
कटवाते	k a tx w aa t ee
कटाई	k a tx aa ii
कटाने	k a tx aa n ee
कटारिया	k a tx aa r i y aa
कटाव	k a tx aa w
कटिबंधीय	k a tx i b a q dh ii y
कटिबद्ध	k a tx i b a d dh
कटु	k a tx u
कटुता	k a tx u t aa
कटौती	k a tx ou t ii
कट्टरता	k a tx tx a r t aa
कट्टरपंथ	k a tx tx a r p a q th
कट्टु	k a tx tx u
कठघरे	k a txh a gh r ee
कठपुतली	k a txh p u t l ii
कठिन	k a txh i n
कठिनाइयों	k a txh i n aa i y o q
कठोरता	k a txh o r t aa
कड़वा	k a dxq w aa
कड़वे	k a dxq w ee
कड़ा	k a dxq aa
कड़ी	k a dxq ii
कड्	k a dx
कड्री	k a dx r ii
कढ़ाई	k a dxhq aa ii
कण	k a nx
कणों	k a nx o q
कतई	k a t ii
कतराते	k a t r aa t ee
कतार	k a t aa r
कतारें	k a t aa r ee q
कतारों	k a t aa r o q
कत्थक	k a t th a k
कत्थे	k a t th ee
कथक	k a th a k
कथन	k a th a n
कथा	k a th aa
कथित	k a th i t
कद	k a d
कदम	k a d a m
कदमताल	k a d m a t aa l
कदमों	k a d m o q
कदर	k a d a r
कदलाबाल	k a d l aa b aa l
कधल	k a dh a l
कनमनी	k a n a m n ii
कनाड	k a n aa dx
कनाडा	k a n aa dx aa
कनिष्ठ	k a n i sx txh
कनेक्ट	k a n ee k tx
कनेक्टिविटी	k a n ee k tx i w i tx ii
कनेक्शन	k a n ee k sh a n
कनेक्शनकेंद्रीय	k a n ee k sh a n a k ee q d r ii y
कन्नडा	k a n n dx aa
कन्नाप्पन	k a n n aa p p a n
कन्नौज	k a n n ou j
कन्नड़	k a n n a dxq
कन्या	k a n y aa
कन्वर्ट	k a n w a r tx
कप	k a p
कपड़े	k a p dxq ee
कपड़ों	k a p dxq o q
कपते	k a p t ee
कपल	k a p a l
कपास	k a p aa s
कपिल	k a p i l
कपिलवस्तु	k a p i l w a s t u
कपूर	k a p uu r
कप्टन	k a p tx a n
कप्टनसी	k a p tx a n s ii
कप्टान	k a p tx aa n
कप्टानसी	k a p tx aa n s ii
कप्टानी	k a p tx aa n ii
कप्तान	k a p t aa n
कप्तानी	k a p t aa n ii
कपड़ा	k a p dxq aa
कपड़े	k a p dxq ee
कफिल्म	k a ph i l m
कब	k a b
कबाली	k a b aa l ii
कबाड़	k a b aa dxq
कबिल	k a b i l
कबीर	k a b ii r
कबूल	k a b uu l
कब्जा	k a b j aa
कब्जाया	k a b j aa y aa
कभार	k a bh aa r
कभी	k a bh ii
कम	k a m
कमजोर	k a m j o r
कमजोरियां	k a m j o r i y aa q
कमजोरियों	k a m j o r i y o q
कमजोरी	k a m j o r ii
कमर	k a m a r
कमरा	k a m r aa
कमरे	k a m r ee
कमरों	k a m r o q
कमर्चचाररियों	k a m a r c a c aa r r i y o q
कमर्शियल	k a m a r sh i y a l
कमल	k a m a l
कमलेश	k a m l ee sh
कमश	k a m a sh
कमा	k a m aa
कमांड	k a m aa q dx
कमांडर	k a m aa q dx a r
कमाई	k a m aa ii
कमाए	k a m aa ee
कमाते	k a m aa t ee
कमान	k a m aa n
कमाने	k a m aa n ee
कमाय	k a m aa y
कमाया	k a m aa y aa
कमाल	k a m aa l
कमिटमेंट	k a m i tx m ee q tx
कमियां	k a m i y aa q
कमियों	k a m i y o q
कमी	k a m ii
कमीशन	k a m ii sh a n
कमीशनखोरी	k a m ii sh n a kh o r ii
कमेंट	k a m ee q tx
कमेटी	k a m ee tx ii
कमोबेश	k a m o b ee sh
कम्पनी	k a m p a n ii
कम्पार्टमेंट	k a m p aa r tx a m ee q tx
कम्प्यूटर	k a m p y uu tx a r
कम्प्यूटिंग	k a m p y uu tx i q g
कम्प्यूर	k a m p y uu r
कम्बाइंड	k a m b aa i q dx
कम्युनिकेशन	k a m y u n i k ee sh a n
कम्युनिस्ट	k a m y u n i s tx
कम्युनिस्टों	k a m y u n i s tx o q
कम्यूनिकेटर	k a m y uu n i k ee tx a r
कम्यूनिकेशन	k a m y uu n i k ee sh a n
कयास	k a y aa s
कयोबे	k a y o b ee
कय्याम	k a y y aa m
कर	k a r
करंट	k a r a q tx
करंसी	k a r a q s ii
करकट	k a r k a tx
करकरके	k a r k a r k ee
करके	k a r k ee
करगिल	k a r g i l
करण	k a r a nx
करता	k a r t aa
करती	k a r t ii
करतीं	k a r t ii q
करते	k a r t ee
करतै	k a r t ei
करदाताओं	k a r d aa t aa o q
करन	k a r a n
करना	k a r n aa
करनी	k a r n ii
करने	k a r n ee
करपात्रीजी	k a r p aa t r ii j ii
करमयों	k a r m a y o q
करवा	k a r w aa
करवाई	k a r w aa ii
करवाए	k a r w aa ee
करवाएगा	k a r w aa ee g aa
करवाता	k a r w aa t aa
करवाती	k a r w aa t ii
करवाते	k a r w aa t ee
करवाना	k a r w aa n aa
करवाने	k a r w aa n ee
करवाया	k a r w aa y aa
करा	k a r aa
कराई	k a r aa ii
कराईं	k a r aa ii q
कराए	k a r aa ee
कराएं	k a r aa ee q
कराएगा	k a r aa ee g aa
कराएगी	k a r aa ee g ii
कराकर	k a r aa k a r
कराची	k a r aa c ii
करात	k a r aa t
कराता	k a r aa t aa
कराती	k a r aa t ii
कराते	k a r aa t ee
कराना	k a r aa n aa
करानी	k a r aa n ii
कराने	k a r aa n ee
कराय	k a r aa y
कराया	k a r aa y aa
करायी	k a r aa y ii
करायेगा	k a r aa y ee g aa
करार	k a r aa r
करारनामे	k a r aa r n aa m ee
करारा	k a r aa r aa
करारी	k a r aa r ii
करारे	k a r aa r ee
करारोपण	k a r aa r o p a nx
करि	k a r i
करिके	k a r i k ee
करिती	k a r i t ii
करिते	k a r i t ee
करिने	k a r i n ee
करियर	k a r i y r
करिवाएगा	k a r i w aa ee g aa
करिा	k a r i aa
करिीब	k a r i ii b
करिोड़	k a r i o dxq
करी	k a r ii
करीना	k a r ii n aa
करीब	k a r ii b
करीबी	k a r ii b ii
करीयर	k a r ii y r
करुंग	k a r u q g
करुंगा	k a r u q g aa
करुंगी	k a r u q g ii
करुण	k a r u nx
करू	k a r uu
करूं	k a r uu q
करूंग	k a r uu q g
करूंगा	k a r uu q g aa
करूण	k a r uu nx
करे	k a r ee
करें	k a r ee q
करेंग	k a r ee q g
करेंगी	k a r ee q g ii
करेंगीइ	k a r ee q g ii i
करेंगे	k a r ee q g ee
करेंसी	k a r ee q s ii
करेग	k a r ee g
करेगा	k a r ee g aa
करेगी	k a r ee g ii
करेगीयानि	k a r ee g ii y aa n i
करेतो	k a r ee t o
करेला	k a r ee l aa
करेले	k a r ee l ee
करो	k a r o
करों	k a r o q
करोंड़ों	k a r o q dxq o q
करोड़	k a r o dxq
करोड़ों	k a r o dxq o q
करोड़	k a r o dxq
करोड़पति	k a r o dxq a p t i
करोड़ों	k a r o dxq o q
कर्कट	k a r k a tx
कर्ज	k a r j
कर्जवितरण	k a r j a w i t r a nx
कर्टिस	k a r tx i s
कर्ण	k a r nx
कर्तव्य	k a r t a w y
